Length Range,Peak Attention_Mean,Peak Attention_SD,Peak Attention_N,Attention Span_Mean,Attention Span_SD,Peak Position_Mean,Peak Position_SD
0-4,0.462,0.147,552,0.31,0.146,0.447,0.143
5-9,0.695,0.068,351,0.292,0.102,0.666,0.051
10-14,0.735,0.068,10,0.283,0.118,0.812,0.022
15-19,0.814,,1,0.133,,0.867,
